Date,ATM_ID,District,Location_Type,Manufacturer,ATM_Age_Yrs,Daily_Transactions,Failed_Transactions,Cash_Remaining_Pct,Cash_Loaded_Today,CardReader_Errors,CashDispenser_Errors,Cash_Jams,Printer_Errors,Paper_Remaining_Pct,CPU_Temp_C,CPU_Usage_Pct,Memory_Usage_Pct,Network_Latency_ms,Network_Drops,UPS_Battery_Pct,Power_Outages_7D,Days_Since_Maintenance,Previous_Failures_90D,Customer_Complaints_7D,Failure_Code,Failure_Next_48H,Predicted_Failure_Next_48H,Failure_Probability
2025-12-31,ATM092,2,5,1,1.7,405,5,35.0,0,1,1,0,3,38,47.6,45,58,107,0,78,0,16,0,2,2,1,1,99.0
2025-12-31,ATM163,8,1,0,6.0,403,19,14.0,1,0,3,1,2,25,36.6,38,59,88,0,93,1,51,1,0,6,1,1,99.0
2025-12-28,ATM045,9,3,0,8.4,398,18,39.0,0,2,3,0,3,38,51.3,53,55,49,1,67,2,9,1,2,1,1,1,99.0
2025-12-31,ATM262,6,4,1,3.8,384,15,48.0,0,0,3,1,1,49,52.1,67,68,18,3,76,0,0,0,0,6,1,1,99.0
2025-12-31,ATM237,0,0,1,6.0,423,20,22.0,1,2,1,0,3,39,46.6,75,62,132,0,79,0,70,0,0,6,1,1,99.0
2025-12-31,ATM290,3,3,2,9.0,304,7,65.0,0,2,3,0,0,90,47.8,46,69,96,2,94,3,76,1,4,3,1,1,99.0
2025-12-28,ATM229,7,4,0,4.2,592,19,83.0,0,2,3,1,1,54,45.3,68,53,66,2,97,0,0,4,3,2,1,1,99.0
2025-12-27,ATM259,4,3,1,1.9,603,0,50.0,0,2,3,0,1,66,48.2,51,58,112,0,97,1,73,0,0,1,1,1,99.0
2025-12-27,ATM075,5,2,1,1.9,427,8,46.0,0,0,3,1,2,100,43.5,44,48,78,3,78,4,77,2,0,3,1,1,99.0
2025-12-28,ATM119,1,4,1,5.5,317,5,22.0,1,1,3,1,1,65,44.5,67,53,70,0,80,0,28,3,1,6,1,1,99.0
2025-12-23,ATM020,1,1,2,5.5,506,7,51.0,1,1,3,0,0,70,47.7,42,56,82,0,92,1,33,0,4,2,1,1,99.0
2025-12-29,ATM207,1,0,0,5.2,703,16,45.0,1,0,0,0,3,77,39.9,34,56,64,0,85,3,41,0,0,6,1,1,99.0
2025-12-21,ATM252,7,0,0,1.2,413,16,14.0,0,0,3,0,2,96,43.5,41,60,59,3,100,2,50,1,1,1,1,1,99.0
2025-12-30,ATM039,5,5,2,4.7,428,10,80.0,1,0,3,0,0,59,52.7,13,51,43,0,94,0,24,0,1,3,1,1,98.0
2025-12-31,ATM098,2,2,1,7.9,336,7,75.0,1,2,2,0,3,56,41.4,36,46,69,2,84,2,77,2,0,6,1,1,98.0
2025-12-31,ATM024,7,0,1,7.5,416,6,48.0,0,0,3,1,0,68,46.5,49,52,109,0,94,0,53,6,3,3,1,1,98.0
2025-12-30,ATM018,0,5,0,8.3,390,16,47.0,1,1,3,0,1,93,45.3,76,70,45,4,79,2,98,4,1,3,1,1,98.0
2025-12-31,ATM215,6,0,0,4.5,468,18,35.0,1,2,3,1,1,71,43.8,72,76,92,2,91,1,128,3,1,3,1,1,98.0
2025-12-31,ATM104,7,5,1,3.0,581,7,43.0,0,0,3,1,2,72,51.5,37,55,27,0,88,2,27,1,2,5,1,1,98.0
2025-12-30,ATM130,9,5,1,8.4,193,4,57.0,0,1,2,1,3,69,48.6,22,67,110,4,93,0,31,0,5,1,1,1,98.0
2025-12-31,ATM187,1,5,0,9.6,103,4,60.0,0,2,3,0,1,68,50.1,60,46,14,0,86,0,59,4,2,6,1,1,98.0
2025-12-31,ATM091,0,5,0,6.0,652,23,41.0,0,1,2,0,3,85,41.2,65,50,24,0,80,0,52,0,0,1,1,1,98.0
2025-12-30,ATM265,1,3,2,3.1,637,27,58.0,1,2,1,1,3,64,46.6,59,61,60,1,86,4,39,0,0,2,1,1,98.0
2025-12-31,ATM066,9,4,2,4.2,581,20,70.0,1,2,2,0,3,71,48.7,20,65,69,2,96,3,4,1,3,1,1,1,98.0
2025-12-31,ATM170,5,4,0,8.4,428,6,85.0,0,1,3,0,0,68,49.8,38,46,25,0,100,1,108,0,1,3,1,1,98.0
2025-12-31,ATM033,7,5,0,2.1,804,32,65.0,1,1,3,0,2,55,52.2,59,61,10,4,89,1,61,0,0,3,1,1,98.0
2025-12-31,ATM124,3,4,2,5.5,445,13,69.0,1,1,1,1,3,100,56.6,49,56,60,1,80,0,36,0,3,1,1,1,98.0
2025-12-30,ATM206,2,4,2,6.7,117,0,67.0,0,1,2,1,3,57,37.2,70,50,89,0,76,0,53,4,0,2,1,1,98.0
2025-12-30,ATM065,0,2,0,3.6,426,16,77.0,1,1,3,1,2,67,38.8,23,62,68,1,85,0,79,1,1,1,1,1,98.0
2025-12-27,ATM003,2,5,2,6.3,463,21,53.0,0,2,2,1,3,64,52.7,67,46,39,1,93,2,66,0,0,5,1,1,98.0
2025-12-30,ATM127,5,0,2,9.4,550,0,61.0,1,1,3,0,1,59,47.8,41,69,33,0,95,0,0,0,0,1,1,1,98.0
2025-12-27,ATM283,4,5,2,4.3,169,1,100.0,0,1,2,0,3,33,48.4,37,72,32,0,93,1,36,0,0,3,1,1,98.0
2025-12-29,ATM280,9,4,0,6.6,587,19,87.0,0,0,3,1,1,57,46.9,58,67,118,0,93,0,26,0,1,1,1,1,98.0
2025-12-29,ATM061,5,2,1,7.0,430,4,9.0,0,1,3,0,1,100,45.6,16,41,28,0,81,1,8,1,0,5,1,1,98.0
2025-12-29,ATM059,8,1,2,7.4,512,16,35.0,0,1,3,0,0,75,50.5,46,64,94,0,77,0,47,1,3,1,1,1,98.0
2025-12-29,ATM118,6,0,2,8.0,283,13,65.0,0,1,0,0,3,90,48.0,74,57,70,0,100,0,64,2,0,5,1,1,98.0
2025-12-29,ATM022,1,1,0,2.4,277,11,43.0,0,1,3,0,1,67,46.5,38,63,10,0,150,0,57,1,2,2,1,1,98.0
2025-12-29,ATM246,2,3,2,6.4,612,5,32.0,1,1,3,1,1,90,47.1,71,76,119,3,82,0,0,0,0,5,1,1,98.0
2025-12-29,ATM167,4,0,1,5.4,599,8,63.0,1,1,3,0,2,59,45.4,72,62,88,0,98,5,42,2,0,5,1,1,98.0
2025-12-29,ATM062,0,1,2,8.0,489,19,59.0,0,1,0,0,3,67,48.9,32,71,110,0,57,0,28,0,0,1,1,1,98.0
2025-12-29,ATM111,1,4,1,3.4,529,5,39.0,1,1,1,0,3,36,43.5,63,65,10,0,86,1,66,2,0,2,1,1,98.0
2025-12-30,ATM040,0,1,0,4.4,522,14,56.0,0,0,1,0,3,100,47.5,63,78,71,0,87,1,39,1,2,6,1,1,98.0
2025-12-30,ATM251,9,5,2,9.4,231,7,38.0,0,2,3,0,0,79,43.5,37,70,70,0,90,0,68,0,0,3,1,1,98.0
2025-12-26,ATM273,5,3,2,5.2,694,33,18.0,0,2,3,1,0,61,44.8,42,57,89,0,81,0,39,1,1,1,1,1,98.0
2025-12-28,ATM222,7,2,1,2.8,345,9,55.0,1,2,0,0,3,84,48.0,35,48,68,3,89,0,27,1,4,6,1,1,98.0
2025-12-31,ATM260,8,2,2,5.3,407,6,29.0,0,0,0,1,3,97,39.6,62,51,68,1,58,0,117,0,0,3,1,1,97.0
2025-12-31,ATM026,1,0,2,3.0,359,10,73.0,0,1,2,1,3,64,48.3,37,73,10,1,84,3,63,2,1,5,1,1,97.0
2025-12-29,ATM079,4,1,2,9.2,450,3,58.0,0,2,1,1,3,46,37.2,33,51,81,0,89,0,3,0,0,5,1,1,97.0
2025-12-31,ATM087,4,1,1,9.6,684,31,58.0,0,1,1,1,3,55,49.3,54,73,33,0,74,0,45,0,2,2,1,1,97.0
2025-12-31,ATM081,9,3,2,9.5,443,18,49.0,0,0,0,1,3,86,47.6,70,63,160,0,150,0,30,4,4,3,1,1,97.0
2025-12-28,ATM294,4,3,0,3.8,441,11,57.0,0,0,1,1,3,75,52.5,51,74,100,7,100,0,16,1,0,2,1,1,97.0
2025-12-31,ATM284,9,1,2,4.5,406,8,62.0,1,1,3,0,0,52,47.7,38,42,10,0,86,0,60,3,0,3,1,1,97.0
2025-12-27,ATM154,3,0,0,2.4,591,23,85.0,1,2,0,0,3,31,48.3,32,56,10,0,68,0,15,0,0,2,1,1,97.0
2025-12-30,ATM179,3,3,1,4.4,384,15,88.0,1,1,2,1,3,44,42.6,42,61,23,2,90,6,27,3,2,1,1,1,97.0
2025-12-29,ATM013,5,2,2,7.1,304,13,62.0,1,0,3,1,2,72,53.5,34,56,104,0,79,1,72,1,1,3,1,1,97.0
2025-12-27,ATM191,5,3,0,6.5,506,1,55.0,1,2,0,1,3,77,46.2,57,64,42,0,93,2,78,3,4,1,1,1,97.0
2025-12-30,ATM200,4,1,2,10.0,358,0,84.0,0,0,3,0,1,91,37.1,65,55,90,3,85,0,58,0,3,1,1,1,97.0
2025-12-30,ATM258,3,5,1,3.2,674,15,9.0,1,0,1,1,3,65,47.9,55,58,68,0,82,1,83,3,0,3,1,1,97.0
2025-12-31,ATM269,0,1,0,1.1,275,6,53.0,0,0,2,0,3,62,52.9,40,55,143,2,88,2,68,2,1,2,1,1,97.0
2025-12-30,ATM240,9,5,1,7.0,620,8,63.0,0,2,3,0,2,41,55.7,43,62,17,0,94,4,90,3,1,2,1,1,97.0
2025-12-30,ATM247,5,3,0,2.3,372,15,28.0,1,2,3,1,2,63,46.9,27,55,46,0,66,1,40,0,2,1,1,1,97.0
2025-12-29,ATM073,4,0,0,7.2,330,8,54.0,0,0,1,0,3,88,54.6,50,53,60,4,76,0,19,2,0,1,1,1,97.0
2025-12-26,ATM056,4,4,2,3.9,433,6,45.0,0,2,3,0,2,90,47.9,56,60,63,2,69,3,62,0,1,6,1,1,97.0
2025-12-31,ATM148,6,2,1,9.5,538,10,40.0,1,0,0,1,3,47,45.9,45,56,10,0,83,0,81,0,0,1,1,1,97.0
2025-12-30,ATM001,5,5,1,2.6,335,7,74.0,1,0,0,0,3,90,34.1,40,70,74,2,99,0,0,1,0,2,1,1,97.0
2025-12-29,ATM014,2,4,2,1.9,446,21,71.0,0,2,3,1,1,60,52.6,45,60,100,1,76,0,0,3,2,5,1,1,96.0
2025-12-30,ATM178,0,1,2,2.8,204,3,37.0,0,1,3,0,0,69,42.3,41,70,61,0,100,4,30,1,0,2,1,1,96.0
2025-12-28,ATM137,0,1,0,1.7,227,3,43.0,0,2,3,1,2,47,48.0,47,53,98,0,80,3,4,3,2,6,1,1,96.0
2025-12-28,ATM238,3,2,2,6.9,325,9,41.0,0,0,1,1,3,84,47.0,54,61,32,1,150,0,30,5,3,6,1,1,96.0
2025-12-30,ATM291,1,4,0,1.9,238,2,55.0,0,2,0,0,3,31,45.4,28,65,125,1,94,0,86,0,0,3,1,1,96.0
2025-12-29,ATM027,7,5,0,5.4,653,10,54.0,1,1,2,1,3,63,48.4,29,55,90,3,90,3,29,6,2,1,1,1,96.0
2025-12-29,ATM224,6,2,2,4.3,251,5,67.0,1,0,3,0,2,54,48.2,51,59,68,0,86,0,89,0,0,6,1,1,96.0
2025-12-31,ATM117,3,3,2,9.1,273,5,78.0,1,1,3,0,2,69,51.3,69,61,89,0,92,1,86,1,0,1,1,1,96.0
2025-12-24,ATM197,8,2,2,9.6,770,31,37.0,0,2,3,1,1,91,42.9,23,77,57,2,100,4,53,1,0,6,1,1,95.0
2025-12-29,ATM115,0,4,2,1.2,287,8,79.0,0,2,3,0,1,79,49.5,39,48,10,0,93,0,47,0,0,2,1,1,95.0
2025-12-27,ATM194,5,4,1,3.2,427,9,44.0,0,0,1,1,3,45,53.1,63,77,65,2,74,2,0,0,0,1,1,1,95.0
2025-12-28,ATM099,1,5,2,4.9,282,1,88.0,0,1,3,1,2,72,54.2,53,67,10,0,86,2,52,1,2,3,1,1,95.0
2025-12-31,ATM288,6,2,0,6.4,805,35,85.0,0,0,0,1,3,69,50.2,33,59,10,0,76,0,66,2,1,5,1,1,95.0
2025-12-30,ATM278,8,0,0,9.4,583,6,80.0,0,0,1,1,3,71,31.3,59,69,48,1,83,0,26,1,1,2,1,1,95.0
2025-12-30,ATM153,8,1,2,3.4,94,0,49.0,0,2,0,0,3,100,47.7,28,55,26,2,81,0,14,0,2,6,1,1,95.0
2025-12-30,ATM089,8,0,1,7.0,894,2,25.0,0,2,3,0,0,68,58.9,40,63,61,1,100,2,29,3,0,2,1,1,95.0
2025-12-16,ATM162,6,1,2,9.9,639,13,81.0,0,1,0,0,3,74,52.5,53,54,87,0,100,1,44,0,4,5,1,1,95.0
2025-12-28,ATM032,6,5,0,9.6,195,1,72.0,0,2,0,1,3,86,48.5,58,59,26,0,75,0,8,0,0,3,1,1,94.0
2025-12-27,ATM243,9,0,0,9.2,904,1,71.0,0,2,3,1,2,73,56.7,44,52,40,0,83,2,5,2,0,1,1,1,94.0
2025-12-27,ATM190,8,2,0,2.2,301,10,45.0,0,1,0,1,3,100,48.8,25,51,55,2,90,2,4,0,0,5,1,1,94.0
2025-12-31,ATM029,2,0,1,3.0,749,22,17.0,0,0,2,0,3,100,51.4,34,58,59,0,78,0,0,0,0,2,1,1,94.0
2025-12-30,ATM028,3,2,2,7.3,597,13,46.0,1,1,1,0,3,85,44.1,43,68,67,3,100,4,1,0,1,6,1,1,94.0
2025-12-25,ATM070,3,2,0,9.9,618,11,56.0,0,0,1,0,3,82,40.3,19,66,83,0,150,0,0,2,2,3,1,1,93.0
2025-12-29,ATM248,8,3,2,1.1,307,7,80.0,0,2,1,0,3,100,45.7,74,75,35,2,70,0,100,6,3,3,1,1,90.0
